,Accuracy,KS,FNR,FPR,TNR,Recall,Precision,F1,Best Parameters
knn_minmax,0.8403412553321146,0.03717245581962218,0.122040072859745,0.19755351681957187,0.8024464831804281,0.8779599271402551,0.8174109666478236,0.8466042154566745,{'n_neighbors': 18}
sgd_minmax,0.8315051797684339,0.011273613650213284,0.15664845173041894,0.18042813455657492,0.8195718654434251,0.843351548269581,0.8248218527315915,0.8339837886520564,"{'random_state': 42, 'penalty': 'l2', 'loss': 'modified_huber', 'early_stopping': True, 'alpha': 0.038}"
svm_minmax,0.8449116392443632,0.04783668494820231,0.10686095931997572,0.2036697247706422,0.7963302752293578,0.8931390406800243,0.815410199556541,0.852506519849319,"{'random_state': 42, 'kernel': 'poly', 'decision_function_shape': 'ovo', 'break_ties': False, 'C': 32.3}"
xgb_bayes_opt_minmax,0.8619744058500914,0.026508226691042046,0.1111111111111111,0.1651376146788991,0.8348623853211009,0.8888888888888888,0.8442906574394463,0.8660159716060336,"OrderedDict([('colsample_bylevel', 0.6209085649172932), ('colsample_bytree', 0.7776107350396038), ('gamma', 0.17951146660167902), ('learning_rate', 0.8755820423811133), ('max_depth', 5), ('min_child_weight', 6), ('n_estimators', 82), ('reg_alpha', 0.4220825865286148), ('reg_lambda', 734)])"
knn_std,0.8375990249847654,0.06368068251066424,0.09836065573770492,0.22691131498470948,0.7730886850152905,0.9016393442622951,0.8001077586206896,0.8478447045389667,{'n_neighbors': 16}
sgd_std,0.8433881779402803,0.032297379646556976,0.12386156648451731,0.18960244648318042,0.8103975535168195,0.8761384335154827,0.8231602966343411,0.8488235294117646,"{'random_state': 42, 'penalty': 'l2', 'loss': 'modified_huber', 'early_stopping': True, 'alpha': 0.038}"
svm_std,0.8653260207190737,0.029859841560024376,0.10443230115361263,0.1651376146788991,0.8348623853211009,0.8955676988463873,0.8452722063037249,0.8696933962264151,"{'random_state': 42, 'kernel': 'rbf', 'decision_function_shape': 'ovr', 'break_ties': False, 'C': 0.5}"
xgb_bayes_opt_std,0.8677635588056063,0.0042656916514320535,0.12750455373406194,0.13700305810397553,0.8629969418960245,0.8724954462659381,0.8651414810355208,0.8688029020556227,"OrderedDict([('colsample_bylevel', 0.5479690370134094), ('colsample_bytree', 0.9208091341729433), ('gamma', 0.24823335230189164), ('learning_rate', 0.8392798726899214), ('max_depth', 4), ('min_child_weight', 1), ('n_estimators', 79), ('reg_alpha', 0.02580108602772), ('reg_lambda', 386)])"
knn_rob,0.8260207190737355,0.07891529555149299,0.0947176684881603,0.25382262996941896,0.746177370030581,0.9052823315118397,0.7822665267576075,0.8392907402195329,{'n_neighbors': 18}
sgd_rob,0.8415600243753809,0.031687995124923825,0.12629022465088038,0.1908256880733945,0.8091743119266055,0.8737097753491196,0.8218161050828098,0.8469688051795173,"{'random_state': 42, 'penalty': 'l1', 'loss': 'hinge', 'early_stopping': True, 'alpha': 0.011}"
svm_rob,0.8638025594149908,0.031992687385740404,0.10382513661202186,0.1688073394495413,0.8311926605504587,0.8961748633879781,0.8424657534246576,0.8684907325684024,"{'random_state': 42, 'kernel': 'rbf', 'decision_function_shape': 'ovo', 'break_ties': False, 'C': 4.0}"
xgb_bayes_opt_rob,0.8668494820231566,0.010664229128580133,0.122040072859745,0.14434250764525994,0.8556574923547401,0.8779599271402551,0.8596908442330559,0.8687293481525984,"OrderedDict([('colsample_bylevel', 0.6209085649172932), ('colsample_bytree', 0.7776107350396038), ('gamma', 0.17951146660167902), ('learning_rate', 0.8755820423811133), ('max_depth', 5), ('min_child_weight', 6), ('n_estimators', 82), ('reg_alpha', 0.4220825865286148), ('reg_lambda', 734)])"
